Category,Crop,QueryType,StateName,DistrictName,BlockName,Hour of the day,Month
Condiments and Spices,Cumin,"	Plant Protection	",GUJARAT,Mehsana,UNJHA,13,12
Cereals,Wheat,Weed Management,GUJARAT,Mehsana,UNJHA,13,12
Condiments and Spices,Cumin,"	Plant Protection	",GUJARAT,Mehsana,MAHESANA,13,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Vegetables,Brinjal,Field Preparation,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Cereals,Paddy (Dhan),Weather,WEST BENGAL,HOOGHLY,GOGHAT-II,13,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,HOOGHLY,ARAMBAGH,13,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,BALANAGAR,13,12
Cereals,Wheat,"	Water Management	",UTTAR PRADESH,KAUSHAMBI,SARSAWAN,12,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,NALGONDA,BHUVANAGIRI,12,12
Cereals,Paddy (Dhan),Nutrient Management,CHHATTISGARH,RAIGARH,BARAMKELA,12,12
Vegetables,Cucumber,Cultural Practices,WEST BENGAL,HOOGHLY,DHANIAKHALI,12,12
Cereals,Paddy (Dhan),Fertilizer Use and Availability,TELANGANA,NALGONDA,NAMPALLY,12,12
Cereals,Barley (Jau),Seeds,GUJARAT,ANAND,TARAPUR,12,12
Cereals,Barley (Jau),Seeds,GUJARAT,ANAND,TARAPUR,12,12
Oilseeds,Groundnut (pea nut/mung phalli),Nutrient Management,TELANGANA,MAHABOOBNAGAR,NAGARKURNOOL,12,12
Vegetables,Potato,"	Plant Protection	",GUJARAT,Mehsana,MAHESANA,12,12
Vegetables,Bhindi(Okra/Ladysfinger),"	Plant Protection	",CHHATTISGARH,RAIPUR,DHARSIWA,12,12
Others,Others,Soil Testing,CHHATTISGARH,RAIPUR,DHARSIWA,12,12
Cereals,Barley (Jau),Seeds,GUJARAT,ANAND,TARAPUR,12,12
Cereals,Barley (Jau),Seeds,GUJARAT,ANAND,TARAPUR,12,12
Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,CHHATTISGARH,RAIPUR,ABHANPUR,12,12
Cereals,Wheat,Nutrient Management,UTTARAKHAND,HARIDWAR,LAKSAR,12,12
Millets,Maize (Makka),"	Plant Protection	",WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,12,12
Condiments and Spices,Coriander,Cultural Practices,CHHATTISGARH,RAIGARH,BARAMKELA,12,12
Others,Others,Seeds,TELANGANA,MAHABOOBNAGAR,NARAYANPET,11,12
Fruits,Papaya,Nutrient Management,RAJASTHAN,KOTA,ITAWA,11,12
Others,Others,Credit,TELANGANA,MAHABOOBNAGAR,GOPALPETA,11,12
Cereals,Wheat,Weed Management,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,11,12
Others,Others,Bio-Pesticides and Bio-Fertilizers,GUJARAT,Mehsana,VIJAPUR,11,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,11,12
Others,Others,"	Field Preparation	",CHHATTISGARH,RAIGARH,BARAMKELA,11,12
Cereals,Wheat,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,11,12
Cereals,Wheat,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,11,12
Fruits,Chestnut,"Water Management, Micro Irrigation",GUJARAT,Mehsana,VIJAPUR,11,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),"	Plant Protection	",RAJASTHAN,KOTA,SANGOD,11,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,MALDAH,BAMONGOLA,11,12
Vegetables,Potato,Nutrient Management,WEST BENGAL,HOOGHLY,PANDUA,11,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,10,12
Pulses,Lentil (Masur),"	Plant Protection	",WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,10,12
Others,Others,Government Schemes,GUJARAT,Mehsana,SATLASNA,10,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,10,12
Others,Others,Cultural Practices,GUJARAT,ANAND,ANAND,10,12
Vegetables,Lab Lab,Cultural Practices,CHHATTISGARH,RAIPUR,DHARSIWA,10,12
Pulses,Lentil (Masur),"	Plant Protection	",WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,10,12
Others,Others,Credit,CHHATTISGARH,RAIPUR,DHARSIWA,10,12
Others,Others,Training and Exposure Visits,CHHATTISGARH,RAIPUR,ABHANPUR,10,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,10,12
Fruits,Citrus,Nutrient Management,RAJASTHAN,KOTA,LADPURA,10,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,PANDUA,10,12
Vegetables,Onion,Organic Farming,GUJARAT,Mehsana,UNJHA,10,12
Fruits,Jack Fruit,Cultural Practices,CHHATTISGARH,RAIGARH,SARANGARH,10,12
Cereals,Paddy (Dhan),Government Schemes,TELANGANA,NALGONDA,DAMERACHERLA,10,12
Others,Others,Government Schemes,GUJARAT,Mehsana,VIJAPUR,10,12
Vegetables,Potato,"	Plant Protection	",GUJARAT,Mehsana,SATLASNA,9,12
Cereals,Paddy (Dhan),Fertilizer Use and Availability,TELANGANA,MAHABOOBNAGAR,DHANWADA,9,12
Others,Others,Government Schemes,UTTAR PRADESH,KAUSHAMBI,MOORATGANJ,9,12
Vegetables,Potato,Nutrient Management,UTTAR PRADESH,KAUSHAMBI,SIRATHU,9,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Nutrient Management,RAJASTHAN,KOTA,KHAIRABAD,9,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),"	Plant Protection	",RAJASTHAN,KOTA,KHAIRABAD,9,12
Cereals,Paddy (Dhan),Weed Management,TELANGANA,NALGONDA,SHALI GOURARAM,9,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,CHANDITALA-II,9,12
Others,Others,Weather,RAJASTHAN,KOTA,SULTANPUR,9,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,KOSGI,8,12
Oilseeds,Mustard,"	Plant Protection	",WEST BENGAL,MALDAH,BAMONGOLA,8,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,KOSGI,8,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,NALGONDA,SHALI GOURARAM,8,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,7,12
Vegetables,Brinjal,Seeds and Planting Material,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Cereals,Wheat,Varieties,UTTAR PRADESH,KAUSHAMBI,SARSAWAN,21,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Vegetables,Onion,Seeds and Planting Material,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Fruits,Papaya,Cultural Practices,UTTARAKHAND,HARIDWAR,LAKSAR,21,12
Condiments and Spices,Cumin,Fertilizer Use and Availability,GUJARAT,Mehsana,BECHRAJI,20,12
Vegetables,Potato,Seeds and Planting Material,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,19,12
Millets,Maize (Makka),"	Plant Protection	",WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,19,12
Cereals,Wheat,Nutrient Management,CHHATTISGARH,RAIGARH,PUSSORE,19,12
Others,Others,Government Schemes,CHHATTISGARH,RAIGARH,PUSSORE,19,12
Vegetables,Bitter Gourd,Nutrient Management,WEST BENGAL,HOOGHLY,BALAGARH,19,12
Others,Others,Organic Farming,GUJARAT,Mehsana,KADI,19,12
Others,Others,Weather,WEST BENGAL,HOOGHLY,ARAMBAGH,19,12
Inland,Fresh Water,Fishery Mechanization,UTTARAKHAND,HARIDWAR,BAHADRABAD,18,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,18,12
Others,Others,Weather,TELANGANA,NALGONDA,MIRYALAGUDA,18,12
Cereals,Paddy (Dhan),Weed Management,TELANGANA,NALGONDA,MIRYALAGUDA,17,12
Cereals,Wheat,Weed Management,RAJASTHAN,KOTA,KHAIRABAD,17,12
Oilseeds,Mustard,Nutrient Management,WEST BENGAL,MALDAH,GAZOLE,17,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,MALDAH,OLD MALDA,17,12
Others,Others,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,17,12
Others,Others,Government Schemes,GUJARAT,Mehsana,VIJAPUR,17,12
Fruits,Sapota,Fertilizer Use and Availability,GUJARAT,Mehsana,MAHESANA,17,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,ATMAKUR,17,12
Vegetables,Chillies,"	Plant Protection	",GUJARAT,Mehsana,MAHESANA,17,12
Fruits,Banana,"	Plant Protection	",GUJARAT,Mehsana,VIJAPUR,17,12
Fruits,Lemon,Fertilizer Use and Availability,GUJARAT,Mehsana,VISNAGAR,17,12
Oilseeds,Sesame (Gingelly/Til)/Sesamum,Cultural Practices,TELANGANA,MAHABOOBNAGAR,CHINNACHINTAKUNTA,17,12
Drug and Narcotics,Tobacco,"	Plant Protection	",GUJARAT,Mehsana,VISNAGAR,17,12
Fruits,Lemon,Cultural Practices,GUJARAT,Mehsana,VISNAGAR,17,12
Vegetables,Cucumber,Seeds and Planting Material,WEST BENGAL,HOOGHLY,DHANIAKHALI,17,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,NALGONDA,HUZURNAGAR,17,12
Fruits,Lemon,"	Plant Protection	",TELANGANA,NALGONDA,SHALI GOURARAM,16,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,16,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,16,12
Animal,Pig,Disease Reporting,RAJASTHAN,KOTA,KHAIRABAD,16,12
Drug and Narcotics,Tobacco,Cultural Practices,GUJARAT,Mehsana,KHERALU,16,12
Vegetables,Potato,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,SIRATHU,16,12
Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,SIRATHU,16,12
Animal,"Bovine(Cow,Buffalo)",Credit,RAJASTHAN,KOTA,SANGOD,16,12
Animal,"Bovine(Cow,Buffalo)",Disease Management,GUJARAT,ANAND,PETLAD,16,12
Fruits,Melon,Cultural Practices,TELANGANA,MAHABOOBNAGAR,ADDAKAL,15,12
Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,15,12
Vegetables,Chillies,"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,NAGARKURNOOL,15,12
Cereals,Paddy (Dhan),"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,DEVARAKADARA,15,12
Vegetables,Beans ,"	Plant Protection	",CHHATTISGARH,RAIPUR,ARANG,15,12
Others,Others,Weather,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,15,12
Vegetables,Potato,Nutrient Management,WEST BENGAL,HOOGHLY,PURSURAH,14,12
Others,Others,Weather,WEST BENGAL,HOOGHLY,HARIPAL,14,12
Vegetables,Potato,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,SIRATHU,14,12
Animal,"Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)",GUJARAT,ANAND,SOJITRA,14,12
Vegetables,Pea (Vegetable),Government Schemes,UTTARAKHAND,HARIDWAR,BHAGWANPUR,14,12
Fruits,Mango,"	Plant Protection	",UTTARAKHAND,HARIDWAR,ROORKEE,14,12
Vegetables,Cucumber,Nutrient Management,TELANGANA,NALGONDA,MADUGULAPALLY,14,12
Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,14,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,14,12
Cereals,Wheat,Fertilizer Use and Availability,UTTARAKHAND,HARIDWAR,BHAGWANPUR,14,12
Vegetables,Bitter Gourd,Government Schemes,TELANGANA,MAHABOOBNAGAR,CHINNACHINTAKUNTA,13,12
Pulses,0,"	Plant Protection	",TELANGANA,MAHABOOBNAGAR,VEEPANGANDLA,13,12
Fodder Crops,Barseem,"	Plant Protection	",UTTARAKHAND,HARIDWAR,ROORKEE,13,12
Others,Others,Government Schemes,GUJARAT,ANAND,UMRETH,13,12
Cereals,Paddy (Dhan),Weather,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Others,Others,Government Schemes,GUJARAT,Mehsana,VIJAPUR,13,12
Fruits,Mosambi,"	Plant Protection	",TELANGANA,NALGONDA,ANUMULA,13,12
Others,Others,Weather,GUJARAT,Mehsana,VIJAPUR,13,12
Vegetables,Chillies,Cultural Practices,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Vegetables,Chillies,Cultural Practices,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Cereals,Paddy (Dhan),Government Schemes,CHHATTISGARH,RAIPUR,DHARSIWA,13,12
Vegetables,Cucumber,"	Plant Protection	",GUJARAT,ANAND,TARAPUR,13,12
Others,Others,Weather,TELANGANA,NALGONDA,TRIPURARAM,13,12
Cereals,Wheat,"	Plant Protection	",UTTARAKHAND,HARIDWAR,BHAGWANPUR,13,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,12,12
Cereals,Wheat,"	Water Management	",CHHATTISGARH,RAIGARH,PUSSORE,12,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,VEEPANGANDLA,12,12
Oilseeds,Mustard,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,SARSAWAN,12,12
Vegetables,Potato,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,MANJHANPUR,12,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,MALDAH,GAZOLE,12,12
Others,Others,Weather,CHHATTISGARH,RAIGARH,RAIGARH,12,12
Others,Others,Weed Management,GUJARAT,Mehsana,SATLASNA,12,12
Fodder Crops,Ryegrass,"	Plant Protection	",GUJARAT,Mehsana,MAHESANA,12,12
Fruits,Musk Melon,Cultural Practices,TELANGANA,MAHABOOBNAGAR,LINGAL,12,12
Oilseeds,Mustard,Fertilizer Use and Availability,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,12,12
Vegetables,Cucumber,"	Plant Protection	",TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,12,12
Vegetables,Tomato,"	Plant Protection	",GUJARAT,ANAND,SOJITRA,12,12
Vegetables,Tomato,"	Plant Protection	",GUJARAT,ANAND,SOJITRA,12,12
Others,Others,Government Schemes,GUJARAT,Mehsana,KHERALU,12,12
Oilseeds,Mustard,"	Plant Protection	",RAJASTHAN,KOTA,KHAIRABAD,12,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,11,12
Cereals,Wheat,"	Water Management	",GUJARAT,Mehsana,KADI,11,12
Cereals,Wheat,"	Plant Protection	",WEST BENGAL,MALDAH,MANIKCHAK,11,12
Vegetables,Tomato,Cultural Practices,CHHATTISGARH,RAIPUR,ABHANPUR,11,12
Cereals,Paddy (Dhan),Market Information,CHHATTISGARH,RAIGARH,TAMNAR,11,12
Oilseeds,Mustard,"	Plant Protection	",RAJASTHAN,KOTA,KHAIRABAD,11,12
Cereals,Paddy (Dhan),Market Information,CHHATTISGARH,RAIGARH,TAMNAR,11,12
Vegetables,Pumpkin,Cultural Practices,WEST BENGAL,MALDAH,GAZOLE,11,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,PANDUA,11,12
Oilseeds,Mustard,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,NEVADA,11,12
Vegetables,Potato,Nutrient Management,WEST BENGAL,HOOGHLY,PANDUA,11,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,RAJAPUR,11,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,11,12
Vegetables,Onion,Cultural Practices,CHHATTISGARH,RAIPUR,DHARSIWA,11,12
Vegetables,0,Seeds and Planting Material,CHHATTISGARH,RAIPUR,DHARSIWA,11,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,UTKOOR,11,12
0,0,Weather,RAJASTHAN,KOTA,KHAIRABAD,11,12
Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,11,12
Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,KAUSHAMBI,11,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Fertilizer Use and Availability,GUJARAT,Mehsana,VIJAPUR,11,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,DHANIAKHALI,11,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,ATMAKUR,10,12
Cereals,Wheat,"	Plant Protection	",UTTARAKHAND,HARIDWAR,NARSAN,10,12
Fruits,Mango,"	Plant Protection	",UTTARAKHAND,HARIDWAR,ROORKEE,10,12
Others,Others,Seeds,TELANGANA,MAHABOOBNAGAR,RAJAPUR,10,12
Avian,Duck,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",CHHATTISGARH,RAIPUR,ABHANPUR,10,12
Oilseeds,Mustard,Nutrient Management,RAJASTHAN,KOTA,SANGOD,10,12
Cereals,Wheat,Seeds,CHHATTISGARH,RAIPUR,DHARSIWA,10,12
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),"	Plant Protection	",RAJASTHAN,KOTA,SANGOD,10,12
Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,TELANGANA,MAHABOOBNAGAR,MANOPADU,10,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,10,12
Vegetables,Tomato,Cultural Practices,GUJARAT,Mehsana,VADNAGAR,10,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,10,12
Others,Others,Weather,CHHATTISGARH,RAIGARH,PUSSORE,10,12
Vegetables,Potato,Cultural Practices,WEST BENGAL,HOOGHLY,GOGHAT-II,10,12
Others,Others,Government Schemes,RAJASTHAN,KOTA,ITAWA,10,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,10,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,10,12
Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,10,12
Condiments and Spices,Fennel,"	Plant Protection	",GUJARAT,Mehsana,UNJHA,9,12
Cereals,Wheat,Nutrient Management,RAJASTHAN,KOTA,KHAIRABAD,9,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,DHANIAKHALI,9,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,ATMAKUR,9,12
Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,MALDAKAL,9,12
Cereals,Wheat,Nutrient Management,UTTARAKHAND,HARIDWAR,ROORKEE,9,12
Animal,"Bovine(Cow,Buffalo)",Cattle shed Planning and Management,TELANGANA,MAHABOOBNAGAR,MAKTHAL,9,12
Vegetables,Tomato,"	Plant Protection	",GUJARAT,ANAND,SOJITRA,9,12
Vegetables,Tomato,"	Plant Protection	",GUJARAT,ANAND,UMRETH,9,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,ABHANPUR,9,12
Others,Others,Weather,UTTARAKHAND,HARIDWAR,KHANPUR,9,12
Cereals,Paddy (Dhan),Fertilizer Use and Availability,CHHATTISGARH,RAIGARH,PUSSORE,9,12
Others,Others,"	Water Management	",GUJARAT,Mehsana,KHERALU,9,12
Cereals,Paddy (Dhan),"	Plant Protection	",WEST BENGAL,MALDAH,OLD MALDA,9,12
Millets,Sorghum (Jowar/Great Millet),Seeds,TELANGANA,MAHABOOBNAGAR,MALDAKAL,8,12
Vegetables,Onion,"	Plant Protection	",RAJASTHAN,KOTA,KHAIRABAD,8,12
Vegetables,Potato,"	Plant Protection	",UTTAR PRADESH,KAUSHAMBI,MANJHANPUR,8,12
Vegetables,Capsicum,Nutrient Management,WEST BENGAL,HOOGHLY,DHANIAKHALI,8,12
Plantation Crops,Poplar,Seeds and Planting Material,UTTARAKHAND,HARIDWAR,NARSAN,8,12
Oilseeds,Raya (Indian Mustard),"	Plant Protection	",WEST BENGAL,MALDAH,OLD MALDA,8,12
Pulses,Lentil (Masur),"	Plant Protection	",WEST BENGAL,MALDAH,OLD MALDA,8,12
0,0,0,UTTARAKHAND,HARIDWAR,NARSAN,8,12
Vegetables,Sponge Gourd,"	Plant Protection	",TELANGANA,NALGONDA,NAMPALLY,8,12
Vegetables,Sponge Gourd,"	Plant Protection	",TELANGANA,NALGONDA,NAMPALLY,8,12
Vegetables,Potato,Nutrient Management,WEST BENGAL,MALDAH,GAZOLE,8,12
Cereals,Wheat,Seeds,CHHATTISGARH,RAIPUR,ABHANPUR,8,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,ABHANPUR,7,12
Cereals,Wheat,Weed Management,RAJASTHAN,KOTA,SANGOD,7,12
Others,Others,Weather,CHHATTISGARH,RAIPUR,ABHANPUR,7,12
Animal,"Bovine(Cow,Buffalo)",Dairy Production,UTTARAKHAND,ALMORA,TAKULA,7,12
Condiments and Spices,Fennel,"	Plant Protection	",GUJARAT,Mehsana,SATLASNA,7,12
Condiments and Spices,Fennel,Nutrient Management,GUJARAT,Mehsana,0,7,12
Cereals,Paddy (Dhan),Market Information,CHHATTISGARH,RAIPUR,DHARSIWA,21,12
Vegetables,Potato,"	Plant Protection	",WEST BENGAL,HOOGHLY,JANGIPARA,21,12
