Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn,Hour of the day,Month
HORTICULTURE,Vegetables,Tomato,Agriculture Mechanization,UTTAR PRADESH,KUSHI NAGAR,KHADDA,2018-01-07 15:27:36.950,15,1
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-06-28 20:50:59.330,20,6
AGRICULTURE,Cereals,Wheat,	Plant Protection	,UTTARAKHAND,NAINITAL,HALDWANI,2018-02-23 07:22:58.553,7,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,KHUDAGANJ KATRA,2018-02-28 10:03:55.563,10,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KANPUR CITY,GHATAMPUR,2018-10-01 09:40:23.260,9,10
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,KHAMMAM,KAMEPALLY,2018-11-30 11:45:31.167,11,11
AGRICULTURE,Others,Others,Government Schemes,UTTAR PRADESH,MAHARAHGANJ,NICHLAUL,2018-05-14 08:43:30.123,8,5
AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,RAJASTHAN,KOTA,SANGOD,2018-01-11 07:44:04.590,7,1
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,KARIMNAGAR,PEGADAPALLI,2018-04-02 12:18:40.370,12,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-12-17 08:55:14.753,8,12
AGRICULTURE,Cereals,Wheat,	Plant Protection	,UTTAR PRADESH,SHAHJAHANPUR,TILHAR,2018-02-28 20:24:20.657,20,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,TALERA,2018-08-02 14:28:05.030,14,8
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,HOOGHLY,KHANAKUL-II,2018-04-06 11:45:54.653,11,4
HORTICULTURE,Fruits,Mosambi,	Plant Protection	,RAJASTHAN,KOTA,LADPURA,2018-03-14 17:48:43.727,17,3
HORTICULTURE,Fruits,Mango,	Plant Protection	,TELANGANA,MAHABOOBNAGAR,BALANAGAR,2018-12-15 14:05:37.103,14,12
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BIRBHUM,SAINTHIA,2018-09-24 09:53:06.793,9,9
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,RAMGARH,2018-04-12 20:48:41.433,20,4
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,TAMSI,2018-09-20 16:37:04.877,16,9
HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,WEST BENGAL,HOOGHLY,BALAGARH,2018-10-19 11:15:44.170,11,10
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,TELANGANA,NALGONDA,MIRYALAGUDA,2018-12-09 07:13:38.717,7,12
HORTICULTURE,Vegetables,Potato,Weather,UTTARAKHAND,NAINITAL,RAMGARH,2018-05-01 17:27:56.250,17,5
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,NADIGUDEM,2018-12-17 09:30:19.527,9,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,SISWA,2018-05-28 09:15:49.917,9,5
AGRICULTURE,Others,Others,Soil Testing,GUJARAT,Mehsana,SATLASNA,2018-12-07 21:19:14.320,21,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,MITHAURA,2018-05-19 10:24:14.217,10,5
HORTICULTURE,Vegetables,Watermelon,Cultural Practices,CHHATTISGARH,MAHASAMUND,PITHORA,2018-11-17 14:55:12.900,14,11
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,BAHADRABAD,2018-07-02 14:18:42.847,14,7
AGRICULTURE,Pulses,Moth Bean (kidney bean/ deww gram),Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-03-06 19:06:57.670,19,3
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,DHARI,2018-05-15 09:52:00.323,9,5
HORTICULTURE,Vegetables,Potato,Cultural Practices,WEST BENGAL,HOOGHLY,POLBA-DADPUR,2018-12-02 13:38:27.637,13,12
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,DHANWADA,2018-10-12 16:19:46.193,16,10
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,BHAINSA,2018-09-28 16:27:12.863,16,9
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,MUNDA PANDEY,2018-11-13 10:22:42.363,10,11
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,JALORE,2018-04-08 17:34:41.080,17,4
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,SARSAWAN,2018-08-28 10:19:50.400,10,8
HORTICULTURE,Vegetables,Radish,Vegetative Propagation and Tissue Culture,UTTAR PRADESH,SHAHJAHANPUR,BHAWAL KHERA,2018-02-06 11:01:29.760,11,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,LAKSHMIPUR,2018-05-05 12:35:14.070,12,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,MANJHANPUR,2018-08-14 12:30:26.417,12,8
HORTICULTURE,Vegetables,Watermelon,Field Preparation,UTTAR PRADESH,KAUSHAMBI,MOORATGANJ,2018-12-20 13:01:32.937,13,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,HINDAUN,2018-07-04 12:21:57.253,12,7
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,WEST BENGAL,HOOGHLY,DHANIAKHALI,2018-12-06 17:03:22.450,17,12
AGRICULTURE,Millets,Maize (Makka),Fertilizer Use and Availability,TELANGANA,WARANGAL,GHANPUR(STATION),2018-02-26 11:02:17.013,11,2
HORTICULTURE,Vegetables,Chillies,Nutrient Management,UTTAR PRADESH,BADAUN,UJHANI,2018-02-13 10:21:35.097,10,2
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,RAJASTHAN,TONK,DEOLI,2018-02-01 13:12:20.723,13,2
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BIRBHUM,SAINTHIA,2018-03-28 14:48:01.540,14,3
AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-II,2018-12-31 10:58:14.397,10,12
AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,RAJASTHAN,TONK,TONK,2018-02-08 11:10:01.193,11,2
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,KABEERDHAM,PANDARIYA,2018-05-25 10:56:16.783,10,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,BHINMAL,2018-04-13 13:45:11.483,13,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-12-14 15:53:08.200,15,12
AGRICULTURE,Cereals,Wheat,Weed Management,UTTARAKHAND,HARIDWAR,BHAGWANPUR,2018-12-14 13:54:34.897,13,12
AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Varieties,TELANGANA,MAHABOOBNAGAR,KOLLAPUR,2018-07-10 14:25:19.397,14,7
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,UTTARAKHAND,NAINITAL,KOTABAG,2018-08-05 10:16:54.167,10,8
HORTICULTURE,Fruits,Mango,	Plant Protection	,WEST BENGAL,BIRBHUM,SURI-I,2018-03-23 11:19:57.073,11,3
HORTICULTURE,Vegetables,Pumpkin,	Plant Protection	,TELANGANA,MEDAK,PAPANNAPET,2018-07-13 18:05:23.243,18,7
AGRICULTURE,Pulses,Black Gram (urd bean),	Water Management	,RAJASTHAN,KOTA,SANGOD,2018-06-05 15:39:53.980,15,6
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,UDHAM SINGH NAGAR,RUDRAPUR,2018-02-07 14:34:09.340,14,2
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,NARAYANPET,2018-12-28 12:00:22.043,12,12
HORTICULTURE,Fruits,Mosambi,Nutrient Management,TELANGANA,NALGONDA,NIDAMANOOR,2018-06-29 08:41:33.273,8,6
AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Fertilizer Use and Availability,GUJARAT,RAJKOT,UPLETA,2018-03-03 09:32:07.697,9,3
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,TANUR,2018-06-20 13:27:43.653,13,6
HORTICULTURE,Fruits,Acid Lime,Government Schemes,UTTARAKHAND,NAINITAL,RAMGARH,2018-04-30 12:12:16.980,12,4
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,KHANAPUR,2018-09-18 12:16:28.717,12,9
AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,TELANGANA,WARANGAL,DEVARUPPULA,2018-02-27 16:11:02.260,16,2
AGRICULTURE,Cereals,Wheat,Cultural Practices,GUJARAT,SURENDRANAGAR,DASADA,2018-01-22 08:36:24.213,8,1
AGRICULTURE,Others,Others,Weather,WEST BENGAL,MALDAH,HARISHCHANDRAPUR-I,2018-12-30 15:05:48.210,15,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,BIRDHA,2018-04-28 16:27:39.837,16,4
AGRICULTURE,Cereals,Paddy (Dhan),Seeds,TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,2018-06-13 14:24:51.057,14,6
HORTICULTURE,Condiments and Spices,Cumin,Cultural Practices,GUJARAT,SURENDRANAGAR,LIMBDI,2018-01-06 11:23:02.330,11,1
AGRICULTURE,Others,Others,Cultural Practices,TELANGANA,KARIMNAGAR,KARIMNAGAR,2018-07-09 12:18:54.790,12,7
HORTICULTURE,Fruits,Mango,Nutrient Management,TELANGANA,MEDAK,DUBBAK,2018-02-07 14:28:55.753,14,2
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,UTTAR PRADESH,SIDDHARTH NAGAR,LOTAN,2018-06-17 14:28:07.813,14,6
HORTICULTURE,Vegetables,Chillies,Market Information,TELANGANA,KHAMMAM,JULURUPADU,2018-02-05 20:36:37.587,20,2
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,BHUVANAGIRI,2018-12-18 07:59:04.813,7,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-07-06 09:12:45.733,9,7
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,2018-07-07 09:44:11.500,9,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,LAKSHMIPUR,2018-05-18 18:57:44.220,18,5
AGRICULTURE,Cereals,Wheat,	Field Preparation	,GUJARAT,SURENDRANAGAR,CHUDA,2018-01-28 10:20:02.153,10,1
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,ALMORA,CHAUKHUTIYA,2018-12-13 11:14:32.003,11,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-04 07:54:27.877,7,8
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,MURSHIDABAD,NABAGRAM,2018-07-03 17:27:28.410,17,7
AGRICULTURE,Others,Others,Cultural Practices,CHHATTISGARH,RAIGARH,PUSSORE,2018-01-24 19:55:30.110,19,1
HORTICULTURE,Vegetables,Tomato,Cultural Practices,UTTAR PRADESH,SHAHJAHANPUR,MIRZAPUR,2018-02-12 07:41:35.863,7,2
AGRICULTURE,Others,Others,Fertilizer Use and Availability,GUJARAT,RAJKOT,DHORAJI,2018-03-16 11:52:26.357,11,3
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,KONDAPAK,2018-07-11 18:50:14.640,18,7
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,GOGHAT-II,2018-12-14 13:05:57.613,13,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-09-18 10:21:44.703,10,9
AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,RAJASTHAN,KOTA,KHAIRABAD,2018-01-20 15:02:42.560,15,1
AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,CHHATTISGARH,RAIGARH,BARAMKELA,2018-12-31 12:52:05.280,12,12
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,DURG,DHAMDHA,2018-05-03 06:19:55.357,6,5
AGRICULTURE,Cereals,Wheat,Cultural Practices,GUJARAT,BANAS KANTHA,DEESA,2018-02-27 11:49:19.360,11,2
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BIRBHUM,MAYURESWAR-I,2018-09-10 11:40:51.403,11,9
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIGARH,SARANGARH,2018-11-03 15:26:52.823,15,11
AGRICULTURE,Cereals,Wheat,Varieties,CHHATTISGARH,RAIGARH,RAIGARH,2018-01-13 07:53:19.187,7,1
AGRICULTURE,Millets,Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),Weather,RAJASTHAN,KARAULI,KARAULI,2018-09-07 18:25:41.217,18,9
HORTICULTURE,Flowers,Jasmine,Nutrient Management,RAJASTHAN,KOTA,KHAIRABAD,2018-06-29 13:42:55.633,13,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,2018-12-06 13:54:55.873,13,12
ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)",GUJARAT,BANAS KANTHA,DANTIVADA,2018-02-28 16:23:04.150,16,2
AGRICULTURE,Others,Others,Market Information,RAJASTHAN,KOTA,KHAIRABAD,2018-06-17 13:34:16.273,13,6
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,JANJGIR-CHAMPA,JAIJAIPUR,2018-03-11 18:50:57.833,18,3
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,CHUDA,2018-10-21 08:16:33.777,8,10
AGRICULTURE,Others,Others,	Field Preparation	,GUJARAT,JAMNAGAR,JAMNAGAR,2018-05-12 12:26:15.233,12,5
AGRICULTURE,Cereals,Barley (Jau),Weather,RAJASTHAN,KOTA,LADPURA,2018-06-28 15:11:29.413,15,6
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,LALITPUR,MEHRONI,2018-04-12 18:59:32.990,18,4
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,NAINITAL,BETALGHAT,2018-05-19 12:48:22.023,12,5
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,KHANAKUL-II,2018-04-13 18:44:12.763,18,4
AGRICULTURE,Others,Others,Weather,GUJARAT,SABARKANTHA,VADALI,2018-09-17 07:54:49.577,7,9
AGRICULTURE,Others,Others,Government Schemes,RAJASTHAN,KOTA,LADPURA,2018-03-17 14:22:01.173,14,3
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,LALITPUR,MANDAWARA,2018-04-12 13:13:49.413,13,4
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,MITHAURA,2018-05-02 10:57:00.470,10,5
HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,HOOGHLY,BALAGARH,2018-12-20 09:18:12.557,9,12
HORTICULTURE,Fruits,Mango,Cultural Practices,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-03-13 17:02:07.460,17,3
AGRICULTURE,Fiber Crops,Cotton (Kapas),Cultural Practices,GUJARAT,KHEDA,BALASINOR,2018-07-17 09:15:55.513,9,7
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BIRBHUM,BOLPUR-SRINIKETAN,2018-07-22 17:13:16.230,17,7
AGRICULTURE,Others,Others,Weather,TELANGANA,KHAMMAM,KOTHAGUDEM,2018-02-08 21:07:20.477,21,2
HORTICULTURE,Vegetables,Tomato,Fertilizer Use and Availability,TELANGANA,KARIMNAGAR,SIRCILLA,2018-04-13 13:41:48.410,13,4
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,BAR,2018-04-11 21:31:38.990,21,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,2018-12-09 08:09:32.823,8,12
HORTICULTURE,Medicinal and Aromatic Plants,Safed Musli,Cultural Practices,GUJARAT,Mehsana,KHERALU,2018-12-03 20:07:25.350,20,12
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-02 06:45:35.560,6,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,WAZIRGANJ,2018-02-28 14:50:46.130,14,2
HORTICULTURE,Fruits,Papaya,Cultural Practices,UTTARAKHAND,NAINITAL,HALDWANI,2018-03-06 11:05:55.540,11,3
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,BHAGWANPUR,2018-02-05 17:37:05.213,17,2
AGRICULTURE,Others,Others,Training and Exposure Visits,RAJASTHAN,BUNDI,HINDOLI,2018-08-24 14:15:15.910,14,8
HORTICULTURE,Vegetables,Chillies,Agriculture Mechanization,TELANGANA,WARANGAL,MULUG,2018-05-02 11:55:04.533,11,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,TONK,TONK,2018-02-06 10:59:09.467,10,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,2018-05-05 19:54:36.570,19,5
AGRICULTURE,Millets,Maize (Makka),Varieties,UTTAR PRADESH,BADAUN,SAHASWAN,2018-02-22 19:38:00.393,19,2
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-11 18:36:17.197,18,12
AGRICULTURE,Others,Others,Government Schemes,GUJARAT,AHMADABAD,SANAND,2018-04-22 15:02:58.540,15,4
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,TAMSI,2018-09-17 10:36:13.813,10,9
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,UTTAR PRADESH,BAGHPAT,KHEKRA,2018-07-24 14:44:39.457,14,7
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,MAHASAMUND,PITHORA,2018-06-29 11:01:56.727,11,6
AGRICULTURE,Others,Others,Government Schemes,GUJARAT,AHMADABAD,SANAND,2018-04-08 08:38:49.373,8,4
AGRICULTURE,Cereals,Wheat,	Plant Protection	,UTTARAKHAND,UDHAM SINGH NAGAR,SITARGANJ,2018-02-24 13:01:09.160,13,2
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,2018-12-25 13:42:14.530,13,12
AGRICULTURE,Others,Others,Weather,GUJARAT,BANAS KANTHA,VAV,2018-02-11 17:20:59.947,17,2
AGRICULTURE,Cereals,Wheat,Organic Farming,CHHATTISGARH,RAIGARH,RAIGARH,2018-12-24 12:27:13.040,12,12
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,NALGONDA,PEDDA  ADISERLA  PALLY,2018-02-13 08:01:02.593,8,2
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,KUBEER,2018-09-15 13:26:02.873,13,9
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,UTTARAKHAND,HARIDWAR,NARSAN,2018-12-18 19:29:59.277,19,12
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-16 18:37:31.023,18,12
HORTICULTURE,Vegetables,Pea (Vegetable),	Plant Protection	,UTTARAKHAND,NAINITAL,RAMGARH,2018-03-22 15:51:43.337,15,3
HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,CHHATTISGARH,DHAMTARI,MAGARLOD,2018-03-10 12:06:51.470,12,3
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,DHANWADA,2018-10-12 16:19:52.480,16,10
HORTICULTURE,Medicinal and Aromatic Plants,Betel Vine,Nutrient Management,WEST BENGAL,MURSHIDABAD,JALANGI,2018-07-20 08:04:43.270,8,7
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,YELDURTHY,2018-07-23 13:39:11.917,13,7
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,RAJASTHAN,TONK,DEOLI,2018-02-27 18:19:01.083,18,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,LAKSHMIPUR,2018-05-03 07:54:41.837,7,5
HORTICULTURE,Condiments and Spices,Garlic,	Plant Protection	,WEST BENGAL,MURSHIDABAD,MURSHIDABAD-JIAGUNJ,2018-01-26 16:25:27.050,16,1
HORTICULTURE,Fruits,Lemon,	Plant Protection	,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-03-08 09:10:25.140,9,3
HORTICULTURE,Fruits,Mango,	Plant Protection	,UTTARAKHAND,UDHAM SINGH NAGAR,BAJPUR,2018-02-08 14:40:21.877,14,2
AGRICULTURE,Others,Others,	Field Preparation	,GUJARAT,JAMNAGAR,KALYANPUR,2018-05-02 11:15:27.693,11,5
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,GUJARAT,Mehsana,MAHESANA,2018-08-03 12:38:21.040,12,8
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,RAJASTHAN,KARAULI,HINDAUN,2018-07-23 11:03:42.197,11,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,2018-11-29 20:06:27.600,20,11
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MURSHIDABAD,RANINAGAR-II,2018-01-12 16:25:51.137,16,1
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,CHHATTISGARH,RAIGARH,DHARAMJAIGARH,2018-07-01 08:21:23.347,8,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,MIRZAPUR,2018-02-25 19:38:54.030,19,2
AGRICULTURE,Others,Others,Government Schemes,GUJARAT,AHMADABAD,DHOLKA,2018-04-26 09:07:58.720,9,4
AGRICULTURE,Others,Others,Market Information,GUJARAT,Mehsana,UNJHA,2018-12-22 12:23:55.670,12,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,SISWA,2018-05-02 20:27:40.973,20,5
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,NALGONDA,VEMULA PALLY,2018-02-09 08:20:13.710,8,2
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,KARIMNAGAR,DHARMARAM,2018-02-06 13:50:31.750,13,2
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,RAIGARH,GHARGHODA,2018-12-26 15:27:25.153,15,12
AGRICULTURE,Fiber Crops,Cotton (Kapas),Cultural Practices,GUJARAT,SURENDRANAGAR,LAKHTAR,2018-01-19 12:57:13.530,12,1
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,NALGONDA,BOMMALA RAMARAM,2018-02-03 13:26:35.223,13,2
HORTICULTURE,Fruits,Mango,	Plant Protection	,GUJARAT,AHMADABAD,AHMADABAD CITY,2018-04-30 18:14:33.240,18,4
HORTICULTURE,Fruits,Pomegranate,Nutrient Management,RAJASTHAN,KARAULI,NADAUTI,2018-09-09 09:22:59.147,9,9
AGRICULTURE,Others,Others,Weather,GUJARAT,ANAND,BORSAD,2018-12-29 17:42:43.303,17,12
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,WEST BENGAL,BIRBHUM,MAYURESWAR-II,2018-07-05 17:22:19.763,17,7
AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,UTTARAKHAND,HARIDWAR,BAHADRABAD,2018-02-08 10:37:40.813,10,2
AGRICULTURE,Oilseeds,Soybean (bhat),	Plant Protection	,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-28 19:10:39.873,19,8
HORTICULTURE,Vegetables,Tomato,"Water Management, Micro Irrigation",RAJASTHAN,KOTA,ITAWA,2018-06-23 13:15:04.600,13,6
AGRICULTURE,Others,Others,Weather,WEST BENGAL,HOOGHLY,HARIPAL,2018-10-30 10:31:14.300,10,10
ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Breeding,GUJARAT,KHEDA,MAHUDHA,2018-06-06 19:19:27.897,19,6
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,BELA,2018-09-17 14:56:26.623,14,9
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,UTTAR PRADESH,SIDDHARTH NAGAR,LOTAN,2018-06-14 11:12:26.620,11,6
